BFFFBBFRLR 70 5 565
FBFFFBBLRL 35 2 282
BFFFFFBRRR 65 7 527
FBBBFFFLRR 56 3 451
FFBFBFBRLL 21 4 172
FBBFFBBLRR 51 3 411
FBBFFFFRLL 48 4 388
BFFFBBFRLL 70 4 564
BBFBFBFRLL 106 4 852
BFFFFFBRLL 65 4 524
FFBFFFBRRR 17 7 143
BBFFBFFRLR 100 5 805
BBFFBBFLLL 102 0 816
FBFBFBFLLL 42 0 336
BBFFFFFLLR 96 1 769
FFBBBFFRLL 28 4 228
FFBFFBFRRR 18 7 151
BFFFBBFLRL 70 2 562
BFBBBBFLRR 94 3 755
BFBFFBFLLL 82 0 656
FFBFFBBLRL 19 2 154
FFBFBFFRLR 20 5 165
FFBFBBBLLR 23 1 185
FFFBBFBLLR 13 1 105
FFFBBBFLRL 14 2 114
FBFBBBFLLL 46 0 368
FBBFFFBLLR 49 1 393
BFFFBBBRLL 71 4 572
FFBBFBBRRL 27 6 222
FBFFBBBLLR 39 1 313
FBFBBFFRRL 44 6 358
FBBBBFFLLL 60 0 480
FFBFBFFLLR 20 1 161
BFFFFBFLLR 66 1 529
FBBBFBFLRR 58 3 467
FBFFFFFRRR 32 7 263
FFBFBBFRRL 22 6 182
BFFFBBBLLR 71 1 569
FBBFFBFRLL 50 4 404
BFFFFBBRLL 67 4 540
FBBBFFFRRL 56 6 454
BBFBFFFLLR 104 1 833
FBBFBBFRLR 54 5 437
FFFBFFBRRR 9 7 79
BFBBFBBLRL 91 2 730
FBBBFFBLRR 57 3 459
BBFFBBFLRR 102 3 819
FFBBFBBLLL 27 0 216
BFFBBBBRRL 79 6 638
FBBFBFBRLL 53 4 428
BFFFFFFRRL 64 6 518
BBFBFBFLLL 106 0 848
FBFFBFFLLR 36 1 289
FBFBFBFRLR 42 5 341
BFBFBBBRLR 87 5 701
BBFFBBFLLR 102 1 817
BFFBFBFRRR 74 7 599
BFBBFBFLLL 90 0 720
FBFBBFBRLR 45 5 365
FBBFBFBLRL 53 2 426
FBFFBFFLRR 36 3 291
BFFFFFFRRR 64 7 519
BFFFFBFRLL 66 4 532
FBFBFFFLLR 40 1 321
BFFFFBFLRL 66 2 530
BBFFFFFRLL 96 4 772
FBFBFFFLRR 40 3 323
BFFBFBBLRL 75 2 602
BFBFBBFLLR 86 1 689
BFBFBBBLRL 87 2 698
BFFBFFFRRL 72 6 582
BFFFFFFLLL 64 0 512
FFBBBBBLLR 31 1 249
FBBBFFFLLL 56 0 448
BFFFBBFRRL 70 6 566
FFFBFBBRLL 11 4 92
FFFBFFBRRL 9 6 78
BFBFBFBRRR 85 7 687
BBFFFBFLLR 98 1 785
BFFFBFFLLL 68 0 544
FBFBBFBLRR 45 3 363
FFBBBBFLRR 30 3 243
BFFBBBFLRR 78 3 627
BBFFBBBLLR 103 1 825
FFFBFBBRRL 11 6 94
BBFFFBBLRR 99 3 795
FFBFFFBRRL 17 6 142
FFBFFFBRLR 17 5 141
BFBFBFFRLL 84 4 676
FBFFFBFLRL 34 2 274
BBFFFFFRLR 96 5 773
BFBBFFBRLR 89 5 717
FBFBFBBRRR 43 7 351
BFBFFFFLLR 80 1 641
FFBFBFBLRR 21 3 171
FFFBBBBRRL 15 6 126
FBFFBBFRRR 38 7 311
BFFBBBBLRR 79 3 635
BFFBFFFLLR 72 1 577
BFBFFBFLLR 82 1 657
FBBBBBBRLR 63 5 509
BFBFFFFLRL 80 2 642
BBFFBFFLLL 100 0 800
FBBBBBBLLR 63 1 505
FFBBBBBRRL 31 6 254
BFBFFFFLLL 80 0 640
FBFBBBFRLL 46 4 372
BFFBBBFLRL 78 2 626
FBBFBBBLLL 55 0 440
FBFBBFBRRR 45 7 367
FFBBFFFRLL 24 4 196
BBFFBBBLRL 103 2 826
FBBFFFBRLL 49 4 396
BBFBFFBRLR 105 5 845
FBBBFFBLLR 57 1 457
BFBFFFBRRL 81 6 654
FBFFBBBRLL 39 4 316
FBFBBBBRLL 47 4 380
BFFFBFFRLR 68 5 549
FFBBFBFRLR 26 5 213
BFBFBFFLRR 84 3 675
FFFBBFFLRR 12 3 99
BFBFBBBLLL 87 0 696
BFBFBFBRLR 85 5 685
BFFFFBFLRR 66 3 531
FFBBBFBRRR 29 7 239
BFFFFBBLLR 67 1 537
BBFFBFBLRR 101 3 811
BFBFFFBRRR 81 7 655
BFFFFBBRLR 67 5 541
FBBBBBFRRR 62 7 503
FBBFBBFLLR 54 1 433
FFBBFBBRLL 27 4 220
BFBBFFBLRR 89 3 715
FBBBFFFLLR 56 1 449
BFFFBFFLRL 68 2 546
FBBBBFBLLR 61 1 489
BFBBFBFLRR 90 3 723
BFBBBFFLLL 92 0 736
BFFBFBFRLL 74 4 596
BFBBFBFRRL 90 6 726
BFFBFFBLRR 73 3 587
FFBFFFBLLL 17 0 136
FFFBFBFLRL 10 2 82
FBBBFBBLRR 59 3 475
BFFFBBBLRR 71 3 571
FBFFFFFRLR 32 5 261
BBFFBBBLRR 103 3 827
BFBFFBBLRR 83 3 667
FBFFBBBRRR 39 7 319
FBFFBFFLLL 36 0 288
BFBBBBFRLL 94 4 756
FBBBBBBRRL 63 6 510
BFFBBBBLRL 79 2 634
FFBFBBFLRR 22 3 179
FFBBBFBLLL 29 0 232
FBBFFFFRLR 48 5 389
BBFBFBFRRR 106 7 855
FBFBFFBLRL 41 2 330
FFBBFBBLRL 27 2 218
FBFBBFFLLL 44 0 352
BFFFBFBLRR 69 3 555
FBFBFFBLLR 41 1 329
FBBBBBFLRL 62 2 498
FFBFBFFRLL 20 4 164
BBFFBBFRRR 102 7 823
FFFBBFFLLR 12 1 97
BFBBBFBLRR 93 3 747
FFBBFFBLRL 25 2 202
BFFBBBFRRL 78 6 630
BFBBBBFRRL 94 6 758
BBFFBFFRRL 100 6 806
FFBFFBBRRR 19 7 159
BFFBFBFLRR 74 3 595
FBFBFFBRRR 41 7 335
FBBFBBFLRL 54 2 434
FBFFFFBLRL 33 2 266
FBFFFBBLLL 35 0 280
FFBFFBFRLR 18 5 149
FBFFFBBRRL 35 6 286
BFBBBFBLLL 93 0 744
BFBFBFFLRL 84 2 674
BFBFFBFRRR 82 7 663
BBFFBBBRLL 103 4 828
BBFFFBFLRL 98 2 786
BBFFBFFRLL 100 4 804
FBBFFBFLLL 50 0 400
FBBBBFFLLR 60 1 481
FFBFFFFLLR 16 1 129
FFBBBBFLLR 30 1 241
BFBBBBBRRR 95 7 767
FFBBFBFRRR 26 7 215
FFBFFBFLRL 18 2 146
FBFBBFFRRR 44 7 359
BFBBBFFRRR 92 7 743
FBBFBBFRLL 54 4 436
FBBFBBBRLR 55 5 445
BFFFFFBRLR 65 5 525
BFFBFBBRLL 75 4 604
FBFFFBBLRR 35 3 283
FFBFFFFRLL 16 4 132
FBBBBFBRRL 61 6 494
FBBBBFBRLR 61 5 493
BFBBBBFLLL 94 0 752
FBBBBBFRLL 62 4 500
FBFBFBFLRL 42 2 338
FFBFBBFLLL 22 0 176
FBBBBFFRRL 60 6 486
BFFBFBFLLL 74 0 592
FFFBBBFLLL 14 0 112
FBFBBBBLLL 47 0 376
BFBBBBFRLR 94 5 757
BBFBFFFRRR 104 7 839
FBBBBBBLRL 63 2 506
BFFFBFBLRL 69 2 554
FFBBFBFLLR 26 1 209
BFBBBFBLRL 93 2 746
FBBBBBBRLL 63 4 508
FFBBFFFRRR 24 7 199
BFFFFBBRRR 67 7 543
FBFFBBBLLL 39 0 312
BBFBFFFLRL 104 2 834
FFBFFFBLRR 17 3 139
FFBBBFBLLR 29 1 233
BFFBBFFRRR 76 7 615
FBBFBFFLRL 52 2 418
FFBBBBBLRR 31 3 251
FBBBFBBLLL 59 0 472
BBFBFBFRLR 106 5 853
FBFBFBBLRR 43 3 347
FBBBFBBRLR 59 5 477
FBFBFBBLLR 43 1 345
FFFBBFBRRR 13 7 111
FBBBFFBRLL 57 4 460
FFBBBBFLRL 30 2 242
BBFFBFFRRR 100 7 807
FBFBFBFLLR 42 1 337
FBBBFBFRLR 58 5 469
BFFBBBFRRR 78 7 631
FFFBFBBLLR 11 1 89
BBFBFBBLRR 107 3 859
FBFFBBFRLR 38 5 309
FFBBBFFLLR 28 1 225
FFBBFBFLRL 26 2 210
BFFBFFFLLL 72 0 576
BFBFFBFRRL 82 6 662
FBFBBBBRRL 47 6 382
BFBBBBFLLR 94 1 753
FBBFFBBRLL 51 4 412
BFFBBFBRLR 77 5 621
BFBFFFBLRR 81 3 651
FFBBFFBLRR 25 3 203
FBBFFFFRRL 48 6 390
BFBBFBBLLR 91 1 729
FBFFFBFRLR 34 5 277
BFBBBBFLRL 94 2 754
BFBBBBBRLL 95 4 764
FFBBBBFRLR 30 5 245
BBFBFFBLLR 105 1 841
FBBFFFBLRR 49 3 395
FBFFFFFLLL 32 0 256
FBBFFBFRLR 50 5 405
FBFFBBBRRL 39 6 318
FFBFBFBRRL 21 6 174
FFBBBBFLLL 30 0 240
FFBFBBBRLR 23 5 189
FBBFBFBRLR 53 5 429
BBFFFBBLLR 99 1 793
FBBFFBBLLL 51 0 408
FFBBFFFLLL 24 0 192
FBBBBBFLRR 62 3 499
FFBBFFFLRR 24 3 195
BFFBFFBLLR 73 1 585
FBFFBFBRRR 37 7 303
FFFBFFBRLR 9 5 77
FBFFFFFLRR 32 3 259
BFFFBFBRLL 69 4 556
FBFBBFBRRL 45 6 366
FFBFBBBLRL 23 2 186
BFFFBBFLLR 70 1 561
FBBFFBBRRR 51 7 415
BFBBFBFRLL 90 4 724
FBFFFFBRLL 33 4 268
BBFFFFBLRR 97 3 779
BFFBFBFLLR 74 1 593
FFBFBBBRRL 23 6 190
FBBFFFBRLR 49 5 397
FFBBBBFRRR 30 7 247
BFBBFFBLLR 89 1 713
BFBFFFBLLL 81 0 648
BFFFBBBRRR 71 7 575
FBFBBBFRRR 46 7 375
BFBFFBBRRL 83 6 670
FBFBBFBLLR 45 1 361
BFFFBBBRLR 71 5 573
BFFFFBFLLL 66 0 528
BFFBFFBRLR 73 5 589
FBBFBFBRRR 53 7 431
FFBBFBBRRR 27 7 223
FBFFFBBLLR 35 1 281
BFBBFBBRLR 91 5 733
FFBBBBBRLR 31 5 253
FBFFBBFRRL 38 6 310
BFFBBBFLLR 78 1 625
FBBBFFBLLL 57 0 456
BFBFBFFRRR 84 7 679
BFBFBBFRRR 86 7 695
FBBFFBBLLR 51 1 409
BFFFFFFLLR 64 1 513
FBBBBFFRLR 60 5 485
FBBBBBBLLL 63 0 504
BFBBBBFRRR 94 7 759
BFBBBFFRLR 92 5 741
FFBFFBBRLL 19 4 156
FFBBFBFLLL 26 0 208
BFBFFFBLRL 81 2 650
FFFBBBFLRR 14 3 115
FBBFBFFRRL 52 6 422
FFFBFBFLLL 10 0 80
BFFBBFBLLL 77 0 616
BBFFFFBLLL 97 0 776
BFBBBBBRRL 95 6 766
FBBFBFBLRR 53 3 427
FBFFBFBRLL 37 4 300
BBFBFBBLLL 107 0 856
FFBBBFBLRR 29 3 235
FBBBFFFRRR 56 7 455
BFFBBBBLLL 79 0 632
FBFBFBFRRR 42 7 343
BFFFFFBLLL 65 0 520
BFBFBFBLLR 85 1 681
BBFFFFBRRL 97 6 782
FBBBFBFLLL 58 0 464
FFBFFFFLLL 16 0 128
FBFBFFBLLL 41 0 328
FBBBBBBRRR 63 7 511
